name,apartments.comUrl,real_url,pmCompanyLogo,chatbot
The National Residences,https://www.apartments.com/the-national-residences-dallas-tx/kxhnynb/,https://www.thenationalresidences.com/?utm_source=Apartments.com&utm_medium=referral&utm_campaign=diamondplus&UTM_Knock=apr,Zrs Management,Rentgrata
Residences at The Grove,https://www.apartments.com/residences-at-the-grove-dallas-tx/rw1blw3/,https://www.residencesatthegroveuptown.com/?utm_source=Apartments.com&utm_medium=referral&utm_campaign=diamond&UTM_Knock=apr,Zrs Management,Knockbot
AMLI Fountain Place,https://www.apartments.com/amli-fountain-place-dallas-tx/jhbmgd4/,https://www.amli.com/apartments/dallas/downtown-dallas-apartments/amli-fountain-place?switch_code=58724&utm_source=costar&utm_medium=ils&utm_campaign=fountainplace,Morgan Stanley Services Group Inc,BetterBot
The Case Building,https://www.apartments.com/the-case-building-dallas-tx/lbjx5cd/,https://www.thecasebldg.com/?rcstdid=OQ%3d%3d-o6qee6pfj48%3d,Westdale Real Estate Investment And Management,Rentgrata
The Hamilton,https://www.apartments.com/the-hamilton-dallas-tx/wv6e1ll/,https://www.thehamiltondallas.com/?rcstdid=OQ%3d%3d-o6qee6pfj48%3d,Westdale Real Estate Investment And Management,Rentgrata
The Langford,https://www.apartments.com/the-langford-dallas-tx/44y1crh/,N/A,Cypress Real Estate Advisors Inc,
Cortland Farmers Market,https://www.apartments.com/cortland-farmers-market-dallas-tx/rn6rm51/,https://cortland.com/apartments/cortland-farmers-market/,Cortland,
Jewel on Landmark,https://www.apartments.com/jewel-on-landmark-dallas-tx/pcdle2t/,https://www.jewelonlandmark.com/,Beachwold Residential,Knockbot
SKYLINE TRINITY,https://www.apartments.com/skyline-trinity-dallas-tx/kwtyd4c/,https://www.skylinetrinity.com/?utm_knock=costar,Flournoy Companies,Knockbot
East Quarter Residences,https://www.apartments.com/east-quarter-residences-dallas-tx/rzwfh82/,https://eqresidences.com/?utm_source=Apartments.com&utm_medium=referral&utm_campaign=diamondplus&UTM_Knock=apr,Zrs Management,Rentgrata
